Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Stability Ball Feet Elevated Alternating Single Arm Parallette Plank,,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,Parallette Bars,2,Prone,Single Arm,Alternating,Neutral,No Load,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Archer Push Up,https://youtu.be/_Qbz_54_9Sw,https://youtu.be/A0r8ploEnZY,Intermediate,Chest,Pectoralis Major,,,Bodyweight,0,,,Prone,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
Parallette Archer Push Up,https://youtu.be/Wg2mF-GjD10,,Intermediate,Chest,Pectoralis Major,,,Parallette Bars,2,,,Prone,Double Arm,Alternating,Neutral,No Load,Single Exercise,Horizontal Push,,,Frontal Plane,,,Upper Body,Push,Compound,Unilateral,Calisthenics
Parallette Wide Push Up,https://youtu.be/UEZy-OmXdZs,,Novice,Chest,Pectoralis Major,,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Double Dumbbell Suitcase Knee Over Toes Split Squat,https://youtu.be/2U58iHm7oSM,https://youtu.be/4qPJUSczLcM,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Knee Over Toes Split Stance Standing,Double Arm,Continuous,Neutral,Suitcase,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Alternating Double Dumbbell Front Raise,https://youtu.be/941eb4N2Xeo,,Beginner,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Dumbbell,2,,,Standing,Double Arm,Alternating,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Barbell Front Raise,https://youtu.be/DL-HN35sxdg,https://youtu.be/Ofo2DQdT7DA,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Single Arm Cable Front Raise,https://youtu.be/acozHQv1JLk,,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Unilateral,Bodybuilding
Cable Straight Bar Front Raise,https://youtu.be/PgSZlX32WTo,https://youtu.be/wxzEul89zR0,Novice,Shoulders,Anterior Deltoids,Pectoralis Major,Biceps Brachii,Cable,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Shoulder Flexion,,,Sagittal Plane,,,Upper Body,Push,Isolation,Bilateral,Bodybuilding
Cable Half Kneeling Pallof Press,https://youtu.be/7JBR6JGE1hY,https://youtu.be/DWwI61I1KAM,Novice,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,,Half Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Push,Isolation,Bilateral,
Kettlebell Bottoms Up Horn Grip Standing Bicep Curl,https://youtu.be/YzTfq9VaQKs,https://youtu.be/KLvGXRo56iQ,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Kettlebell,1,,,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Carry,https://youtu.be/NT482_EtPio,https://youtu.be/ruS-NNxgvCU,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,
Double Kettlebell Bottoms Up Front Rack Carry,https://youtu.be/F19T2zGlPGA,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2,,,Walking,Double Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Loaded Carry,,,Sagittal Plane,,,Full Body,Other,Compound,Bilateral,
Double Kettlebell Bottoms Up Overhead Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2,,,Walking,Double Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,https://youtu.be/FvSL8slKKHY,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,,Walking,Single Arm,Continuous,Bottoms Up,Front Rack,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,https://youtu.be/DrpIWrG7rl8,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1,,,Half Kneeling,Single Arm,Continuous,Bottoms Up,Overhead,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Bodybuilding
Barbell Kneeling Rollout,https://youtu.be/AEfj6Lnn0Ao,https://youtu.be/yBg4UoOXxLo,Intermediate,Abdominals,Rectus Abdominis,,,Barbell,1,,,Kneeling,Double Arm,Continuous,Pronated,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Barbell Close Grip Bench Press,https://youtu.be/XEFDMwmrLAM,https://youtu.be/cXbSJHtjrQQ,Novice,Triceps,Triceps Brachii,Pectoralis Major,,Barbell,1,Bench (Flat),1,Supine,Double Arm,Continuous,Pronated,Above Chest,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
Single Arm Suspension Chest Press,https://youtu.be/PenQnEuayM4,,Intermediate,Chest,Pectoralis Major,Triceps Brachii,Rectus Abdominis,Suspension Trainer,1,,,Standing,Single Arm,Continuous,Pronated,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,
Cable Tall Kneeling Pallof Press,https://youtu.be/EtEPKajf0PE,,Novice,Abdominals,Obliques,Rectus Abdominis,,Cable,1,,,Tall Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Single Arm Cable Bicep Curl,https://youtu.be/9ZUCFkp-5BI,https://youtu.be/uuKeFiq5Ojc,Novice,Biceps,Biceps Brachii,Brachialis,Brachioradialis,Cable,1,,,Standing,Single Arm,Continuous,Supinated,Other,Single Exercise,Elbow Flexion,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Unilateral,Bodybuilding
Single Arm Cable Shotgun Row,https://youtu.be/vOyZKDMJm2s,https://youtu.be/AuiREVMldIw,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Cable,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
Barbell Hang Power Clean,https://youtu.be/0aP3tgKZcHQ,https://youtu.be/pk4ioclKmoY,Intermediate,Glutes,Gluteus Maximus,,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Front Rack,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Bilateral,
Landmine Goblet Alternating Cossack Squat,https://youtu.be/N549md2Wu2A,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Front Rack,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Landmine Low Hold Alternating Cossack Squat,https://youtu.be/PnBI0wLBZIg,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Gluteus Maximus,Landmine,1,,,Standing,Double Arm,Continuous,Neutral,Low Hold,Single Exercise,Knee Dominant,,,Frontal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Ring Shoulder Stand,https://youtu.be/_Jf4hAHEwm8,https://youtu.be/PTW_c05GXdg,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,
Ring Strap Handstand,https://youtu.be/3cLo1dWPqis,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Ring Handstand,https://youtu.be/UU2gnuYZYcE,https://youtu.be/UU2gnuYZYcE,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Pike Headstand Push Up,,https://youtu.be/Qtbz_LDAlK4,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Feet Elevated Pike Headstand Push Up,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Wall Headstand Push Up,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Freestanding Headstand Push Up,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Bulgarian Handstand Push Up,https://youtu.be/ZNCupJIYP6M,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Strap Handstand Push Up,https://youtu.be/nUt-_d3zP2w,https://youtu.be/BMeac2RxtM0,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Freestanding Handstand Push Up,https://youtu.be/nKA6FKfbD7Y,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Bent Arm Press Handstand,https://youtu.be/Gzz3ku70W3I,https://youtu.be/5E_yYi0OsPw,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette L Sit to Bent Arm Press Handstand,,https://youtu.be/6wfu8QHBYZU,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Chest Roll to Straight Body Press Handstand,,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Bent Arm Bent Body Press Handstand,https://youtu.be/TxkC9nrvOho,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Dip to Handstand,,,Master,Triceps,Triceps Brachii,Anterior Deltoids,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Handstand to Elbow Lever to Handstand,,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,,Compound,Bilateral,Calisthenics
Ring Dip Straight Body Press to Handstand,,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Wall Eccentric Straddle Press Handstand,https://youtu.be/VVan0yoinV8,,Advanced,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Straddle Stand Press Handstand ,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Pike Stand Press Handstand,,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Bodyweight,0,,,Inverted,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette L Sit Straddle Press Handstand,https://youtu.be/Hx31luas38Q,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Parallette L Sit Pike Press Handstand,https://youtu.be/_cObaNpz7Qo,,Expert,Shoulders,Anterior Deltoids,Triceps Brachii,,Parallette Bars,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Straight Arm L Sit Straddle Press Handstand,,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Ring Straight Arm Pike Press Handstand,,,Master,Shoulders,Anterior Deltoids,Triceps Brachii,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Tuck L Sit,https://youtu.be/K-c1xXiUWJE,,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,L Sit,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette Straddle L Sit,https://youtu.be/F6o417SxU1g,,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,L Sit,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Ring Turned Out L Sit,,,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,L Sit,Double Arm,Continuous,Supinated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Ring Skin The Cat,https://youtu.be/ABSpTs17ObA,https://youtu.be/2T_wIiM8x8I,Intermediate,Shoulders,Anterior Deltoids,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Manna ,https://youtu.be/L7reIo5f6uo,https://youtu.be/5TUXFB7k19w,Grand Master,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,,Compound,Bilateral,
Ring Tuck Back Lever,https://youtu.be/SZV1-ts76CM,https://youtu.be/-hdW6N3sEXA,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Advanced Tuck Back Lever,https://youtu.be/7lceZm3XEcM,https://youtu.be/7lceZm3XEcM,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Straddle Back Lever,https://youtu.be/5GJB37pP6z8,https://youtu.be/5GJB37pP6z8,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Half Lay Back Lever,,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Single Leg Out Back Lever,,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Unilateral,Calisthenics
Ring Full Back Lever,https://youtu.be/ZFEy1s_N820,https://youtu.be/HXaG8mJmSnU,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Back Lever Pullout,https://youtu.be/FRBr2pomeOM?si=15TQvL3xIskTVzVA,,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring German Hang Pullout,https://youtu.be/J34xkKOc9GI,,Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Handstand Lower to Back Lever,,,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Inverted,Double Arm,Continuous,Neutral,No Load,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,,,Compound,Bilateral,Calisthenics
Ring Tuck Front Lever,https://youtu.be/JxlKAuD9gkA,https://youtu.be/eicU_5iBP5U,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Advanced Tuck Front Lever,https://youtu.be/Purt97a2pqE,https://youtu.be/Purt97a2pqE,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Straddle Front Lever,https://youtu.be/eI-15uPc0yE,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Half Lay Front Lever,,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Single Leg Out Front Lever,,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Unilateral,Calisthenics
Ring Full Front Lever,https://youtu.be/rB9EcLohiVs,https://youtu.be/_qNRNyI3qxM,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Front Lever Pull to Inverted Hang,,,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Combo Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Ring Inverted Hang,https://youtu.be/txtXtF2-4S0,https://youtu.be/qKjdH5Lan5o,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,,Other,Compound,Bilateral,Calisthenics
Single Arm Barbell Kneeling Rollout,https://youtu.be/i-JO6pBsKWk,,Expert,Abdominals,Rectus Abdominis,,,Barbell,1,,,Kneeling,Single Arm,Continuous,Pronated,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Barbell Standing Rollout,,,Master,Abdominals,Rectus Abdominis,,,Barbell,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Ring Circle Front Lever,,,Expert,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Ring Tuck Front Lever Pull Up,https://youtu.be/7gLyX3Q1KJA,https://youtu.be/F5s7rHb2xLY,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Advanced Tuck Front Lever Pull Up,,,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Straddle Front Lever Pull Up,,,Expert,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Dead Hang to Front Lever Pull Up,,,Master,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Combo Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Full Front Lever Pull Up,,https://youtu.be/DoB6uv4u_ZI,Master,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Row Feet Elevated,https://youtu.be/u3XIZSv2Npw,https://youtu.be/Re3peup7iSg,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,,Supine,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Bulgarian Row Feet Elevated,https://youtu.be/k84lpDtf5kQ,https://youtu.be/xYQtsjos2Iw,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,,Supine,Double Arm,Continuous,Pronated,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Archer Row Feet Elevated,,,Intermediate,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,,Supine,Double Arm,Alternating,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics
Single Arm Ring Row Feet Elevated ,,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,1,,,Supine,Single Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Calisthenics
Ring L Sit Pull Up,https://youtu.be/Aa9U0XNNBfU,https://youtu.be/W139_yomlH0,Advanced,Back,Latissimus Dorsi,Biceps Brachii,Rectus Abdominis,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,Isometric Hold,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Bulgarian Pull Up,https://youtu.be/Xk0GovwG8Go,https://youtu.be/ek9in7TOqjs,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Bulgarian L Sit Pull Up,https://youtu.be/3U86aaJuyRs,,Advanced,Back,Latissimus Dorsi,Biceps Brachii,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Plank,https://youtu.be/p3zS2AMqGlg,,Novice,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Ring Plank,https://youtu.be/_Iev7PLP6QY,,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,1,,,Prone,Single Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Rotational,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
